2,1,8.87,Kebloran
7,1,5.63,Aipe
8,1,3.43,Parung
14,1,0.79,Bulri
21,1,0.54,Jiuxian
23,1,1.26,"Santiago Puringla"
26,1,5.19,Polazna
33,1,1.11,"Jhang Sadr"
36,1,3.67,Panoongan
43,1,6.82,Tampere
50,1,4.42,"San Vicente"
52,1,2.2,Yuanquan
54,1,6.64,Oslo
56,1,1.55,Lekas
59,1,0.4,Ljungskile
63,1,6.63,Lérida
64,1,0.29,Mora
67,1,9.06,?alabjah
76,1,2.78,Star’
85,1,8.08,Hyesan-si
99,1,3.57,"El Carmen"
121,1,5.87,Palena
127,1,1.63,"Las Mesas"
128,1,4.66,Luziânia
137,1,0.4,Konga
143,1,1.7,Parang
152,1,3.58,Mionica
158,1,5.51,Segong
160,1,4.04,"Pustá Polom"
161,1,9.98,"La Fortuna"
162,1,0.92,Chengxi
164,1,8.18,"Banjar Batanpoh"
166,1,1.46,Kingston
184,1,9.04,"Lapu-Lapu City"
198,1,9.32,Moutsamoudou
205,1,0.53,Cervantes
208,1,1.99,"Banjar Pekandelan"
214,1,1.52,Spånga
215,1,5.56,"Banjar Kertasari"
218,1,4.53,Kula
223,1,0.81,Amangarh
232,1,5.24,"M?rpur Sakro"
234,1,4.84,Qorashina
236,1,7.49,Skokovi
238,1,7.69,"Roi Et"
245,1,4.37,Maykor
250,1,8.78,Zephyrhills
252,1,1.94,Umeå
255,1,2.35,"Limoeiro do Norte"
267,1,0.44,Ulbroka
275,1,1.95,Gweedore
276,1,1.16,Zhengyangshan
290,1,2.13,Boston
291,1,2.83,"Cabak Satu"
299,1,6.53,Lancaster
302,1,2.88,Cihaur
303,1,2.94,Conroe
309,1,7.77,Itupiranga
311,1,5.67,Jiangkou
313,1,4.01,Dazhigu
316,1,6.49,"Goz Béïda"
322,1,4.9,Kangar
327,1,9.94,"Capim Grosso"
330,1,3.42,Maguling
341,1,2.94,"Capão da Canoa"
344,1,8.65,Gulonggang
349,1,6.34,Noramarg
358,1,2.16,Abhar
370,1,6.28,Azenha
373,1,2.08,"Tall Tamr"
376,1,7.88,"Arco de Baúlhe"
394,1,8.07,Skrwilno
395,1,8.69,Qozonketkan
397,1,6.97,Lyublino
398,1,6.3,"Oborniki ?l?skie"
404,1,2.62,Berlin
409,1,6.27,"Victoria West"
413,1,6.21,Anmore
433,1,5.78,Loureiro
434,1,3.49,Lianshi
450,1,8.2,Xiaoya
454,1,8.71,Yosowilangun
455,1,1.82,Linköping
464,1,5.15,"Trai Ngau"
468,1,9.06,Vohipaho
469,1,9.7,Lere
473,1,9.22,"Sakon Nakhon"
474,1,8.46,Mariestad
475,1,5.81,"Las Vegas"
477,1,6.13,Dasol
481,1,7,Topory
492,1,1.02,Cajuru
504,1,2.41,Loacan
510,1,1.02,Marisgama
515,1,5.68,"Nizhniy Kurkuzhin"
516,1,1.09,Jiangpu
518,1,2.09,Huajie
